id,title,number,tarot_card_image,astrological,alchemical,intelligence,hebrew_letter,letter_meaning,description,galileo_content,f_loss_content,st_paul_content,f_loss_bullets,galileo_bullets,st_paul_bullets,description_bullets,slashdot_position,watchtower_position,title_y,tarot_card_thumbnail
1,The Emperor,4,https://i.imgur.com/vUQVQhv.jpg,Aries,mattis,Phasellus,lacus,facilisis,"He has a form of the Crux ansata for his sceptre and a globe in his left hand. He is a crowned monarch--commanding, stately, seated on a throne, the arms of which axe fronted by rams' heads. He is executive and realization, the power of this world, here clothed with the highest of its natural attributes. He is occasionally represented as seated on a cubic stone, which, however, confuses some of the issues. He is the virile power, to which the Empress responds, and in this sense is he who seeks to remove the Veil of Isis; yet she remains virgo intacta.It should be understood that this card and that of the Empress do not precisely represent the condition of married life, though this state is implied. On the surface, as I have indicated, they stand for mundane royalty, uplifted on the seats of the mighty; but above this there is the suggestion of another presence. They signify also--and the male figure especially--the higher kingship, occupying the intellectual throne. Hereof is the lordship of thought rather than of the animal world. Both personalities, after their own manner, are ""full of strange experience,"" but theirs is not consciously the wisdom which draws from a higher world. The Emperor has been described as (a) will in its embodied form, but this is only one of its applications, and (b) as an expression of virtualities contained in the Absolute Being--but this is fantasy.","Dui. sed magna laoreet malesuada mollis vitae.. Eget vitae Phasellus. Facilisis lacus Phasellus egestas, mattis eu. Lacus egestas, facilisis fringilla laoreet. Egestas, ut, magna fringilla mattis fringilla. Laoreet eget malesuada eget. Facilisis mollis vitae. sed.","Eu fringilla vitae. lectus,. Mollis lacus magna Aliquam magna Sed eu. Lacus facilisis eget lorem lacus malesuada. Felis. vitae. dui. malesuada fringilla. Egestas, vitae laoreet dui. dui.. Sed felis. Phasellus fringilla laoreet.","Lacus laoreet facilisis Phasellus. Ut, justo, lacus egestas, fringilla felis. felis.. Justo, Sed magna. Felis. fringilla vitae. laoreet mollis.","Lacus Sed egestas,.
Lorem fringilla vitae.
Ut, malesuada lacus.
Phasellus Phasellus Phasellus.
Fringilla eu lectus,.
Eget vitae ut,.","Eget fringilla Aliquam.
Malesuada malesuada fringilla.
Lacus eget sed.
Lacus lacus malesuada.
Vitae. vitae. Phasellus.
Felis. fringilla magna.","Sed eget lacus.
Felis. sed magna.
Lorem vitae. Sed.
Egestas, eu justo,.
Lorem felis. egestas,.
Laoreet sed lacus.","Phasellus eget ut,.
Mattis vitae egestas,.
Egestas, ut, Sed.
Phasellus vitae ut,.
Mollis eu vitae.
Vitae sed lectus,.",1,1,The Emperor,
2,The High Priestess,2,https://i.imgur.com/aIawfHM.jpg,Astrological Attribute,lacus,eu,fringilla,sed,"She has the lunar crescent at her feet, a horned diadem on her head, with a globe in the middle place, and a large solar cross on her breast. The scroll in her hands is inscribed with the word Tora, signifying the Greater Law, the Secret Law and the second sense of the Word. It is partly covered by her mantle, to shew that some things are implied and some spoken. She is seated between the white and black pillars--J. and B.--of the mystic Temple, and the veil of the Temple is behind her: it is embroidered with palms and pomegranates. The vestments are flowing and gauzy, and the mantle suggests light--a shimmering radiance. She has been called occult Science on the threshold of the Sanctuary of Isis, but she is really the Secret Church, the House which is of God and man. She represents also the Second Marriage of the Prince who is no longer of this world; she is the spiritual Bride and Mother, the daughter of the stars and the Higher Garden of Eden. She is, in fine, the Queen of the borrowed light, but this is the light of all. She is the Moon nourished by the milk of the Supernal Mother.In a manner, she is also the Supernal Mother herself--that is to say, she is the bright reflection. It is in this sense of reflection that her truest and highest name in bolism is Shekinah--the co-habiting glory. According to Kabalism, there is a Shekinah both above and below. In the superior world it is called Binah, the Supernal Understanding which reflects to the emanations that are beneath. In the lower world it is MaIkuth--that world being, for this purpose, understood as a blessed Kingdom that with which it is made blessed being the Indwelling Glory. Mystically speaking, the Shekinah is the Spiritual Bride of the just man, and when he reads the Law she gives the Divine meaning. There are some respects in which this card is the highest and holiest of the Greater Arcana.","Magna facilisis lorem felis. sed. Mollis mollis sed fringilla Sed. Justo, lacus vitae facilisis vitae. justo, mattis. Phasellus lorem malesuada lacus ut, Aliquam lacus magna. Lorem ut, lorem Phasellus. Vitae. lacus dui. justo, mollis fringilla lectus,. Lorem ut, eget vitae mattis lacus justo, justo,. Felis. facilisis dui. Phasellus lacus lectus,.","Fringilla lorem magna lacus Sed dui. mollis. Dui. egestas, Aliquam laoreet fringilla lacus lacus. Fringilla justo, magna mattis Sed ut, Aliquam. Aliquam vitae. malesuada Phasellus mattis dui.. Magna vitae lorem malesuada magna fringilla. Aliquam eu fringilla eu facilisis lorem mattis. Mattis mollis laoreet.","Felis. fringilla mattis lectus, vitae.. Sed ut, Aliquam facilisis sed Phasellus malesuada. Egestas, lacus fringilla eu dui.. Sed mattis laoreet sed. Phasellus ut, laoreet dui. magna malesuada. Sed malesuada felis. facilisis facilisis sed eget.","Vitae. fringilla lorem.
Egestas, eu lectus,.
Laoreet lacus lacus.
Lacus lectus, fringilla.
Fringilla felis. dui..
Phasellus facilisis eget.","Malesuada fringilla laoreet.
Sed mollis lacus.
Eu lacus Phasellus.
Sed fringilla malesuada.
Fringilla fringilla lorem.
Eu fringilla vitae..","Justo, ut, dui..
Mattis fringilla magna.
Vitae eget Aliquam.
Egestas, lectus, eget.
Fringilla eu vitae.
Phasellus eu lacus.","Egestas, vitae malesuada.
Dui. mollis mollis.
Facilisis lectus, lacus.
Magna lectus, eu.
Ut, lacus Phasellus.
Egestas, justo, Phasellus.",1,1,The High Priestess,
3,The Lovers,6,https://ibb.co/d6Rsk2G,Gemini,eget,lacus,Sed,"lectus,","The sun shines in the zenith, and beneath is a great winged figure with arms extended, pouring down influences. In the foreground are two human figures, male and female, unveiled before each other, as if Adam and Eve when they first occupied the paradise of the earthly body. Behind the man is the Tree of Life, bearing twelve fruits, and the Tree of the Knowledge of Good and Evil is behind the woman; the serpent is twining round it. The figures suggest youth, virginity, innocence and love before it is contaminated by gross material desire. This is in all simplicity the card of human love, here exhibited as part of the way, the truth and the life. It replaces, by recourse to first principles, the old card of marriage, which I have described previously, and the later follies which depicted man between vice and virtue. In a very high sense, the card is a mystery of the Covenant and Sabbath.The suggestion in respect of the woman is that she signifies that attraction towards the sensitive life which carries within it the idea of the Fall of Man, but she is rather the working of a Secret Law of Providence than a willing and conscious temptress. It is through her imputed lapse that man shall arise ultimately, and only by her can he complete himself. The card is therefore in its way another intimation concerning the great mystery of womanhood. The old meanings fall to pieces of necessity with the old pictures, but even as interpretations of the latter, some of them were of the order of commonplace and others were false in symbolism.","Lacus mollis fringilla Aliquam vitae. Facilisis magna ut, sed. Lorem Phasellus vitae lacus. Eget mattis magna eu. Justo, eu magna lectus, facilisis justo,.","Vitae justo, lorem vitae eget eu lorem. Lacus fringilla lectus, fringilla vitae.. Laoreet eu dui. vitae. Lacus fringilla lectus, laoreet lorem. Laoreet eu mollis lacus magna Aliquam.","Egestas, lectus, lacus vitae.. Sed Sed fringilla facilisis eget felis.. Sed sed sed malesuada mattis Aliquam sed. Fringilla magna sed eu lacus laoreet.","Sed eget lacus.
Ut, laoreet laoreet.
Mattis eu mattis.
Fringilla mollis eget.
Eu Phasellus mollis.
Mollis ut, felis..","Laoreet fringilla felis..
Eget facilisis vitae..
Lacus Aliquam laoreet.
Sed magna egestas,.
Sed dui. vitae.
Vitae vitae. laoreet.","Ut, mollis sed.
Vitae. sed Aliquam.
Lorem mattis sed.
Vitae Sed Phasellus.
Sed fringilla magna.
Vitae lectus, laoreet.","Sed fringilla magna.
Eu malesuada lorem.
Magna felis. fringilla.
Sed felis. vitae..
Eu Sed mattis.
Fringilla dui. eu.",1,1,The Lovers,
4,The Moon,18,https://i.imgur.com/7afZTRZ.jpg,Pisces,mollis,Sed,"justo,",sed,"The distinction between this card and some of the conventional types is that the moon is increasing on what is called the side of mercy, to the right of the observer. It has sixteen chief and sixteen secondary rays. The card represents life of the imagination apart from life of the spirit. The path between the towers is the issue into the unknown. The dog and wolf are the fears of the natural mind in the presence of that place of exit, when there is only reflected light to guide it.The last reference is a key to another form of symbolism. The intellectual light is a reflection and beyond it is the unknown mystery which it cannot shew forth. It illuminates our animal nature, types of which are represented below--the dog, the wolf and that which comes up out of the deeps, the nameless and hideous tendency which is lower than the savage beast. It strives to attain manifestation, symbolized by crawling from the abyss of water to the land, but as a rule it sinks back whence it came. The face of the mind directs a calm gaze upon the unrest below; the dew of thought falls; the message is: Peace, be still; and it may be that there shall come a calm upon the animal nature, while the abyss beneath shall cease from giving up a form.","Phasellus Aliquam malesuada Phasellus ut,. Phasellus lorem ut, facilisis lectus, eu laoreet. Lacus malesuada eget sed. Vitae eget lacus sed malesuada lacus vitae..","Magna eget mattis vitae. mattis felis. sed. Fringilla fringilla facilisis dui.. Malesuada eu malesuada felis. egestas, malesuada Phasellus vitae. Malesuada facilisis justo, lorem Aliquam vitae sed. Eu Phasellus ut,. Magna lectus, Phasellus malesuada malesuada. Phasellus sed mollis fringilla. Eget eget vitae. egestas, sed magna.","Egestas, lacus vitae. Magna laoreet lectus, lorem lorem. Phasellus dui. facilisis. Egestas, ut, vitae. Vitae. magna lorem eu sed dui. fringilla.","Vitae. fringilla magna.
Eget lectus, Phasellus.
Egestas, vitae vitae..
Malesuada felis. mattis.
Ut, vitae vitae.
Felis. magna mollis.","Egestas, fringilla Aliquam.
Felis. ut, malesuada.
Magna dui. Aliquam.
Dui. fringilla Phasellus.
Fringilla lacus lorem.
Eget lectus, vitae..","Mattis fringilla mattis.
Sed lorem fringilla.
Lorem lectus, justo,.
Mollis justo, lorem.
Fringilla felis. facilisis.
Fringilla egestas, lectus,.","Laoreet dui. egestas,.
Dui. magna sed.
Felis. lacus mollis.
Magna mattis mollis.
Lacus sed vitae.
Lacus ut, fringilla.",1,1,The Moon,
5,The Star,17,https://ibb.co/s68bY1D,Aquarius,magna,eget,"ut,",vitae.,"A great, radiant star of eight rays, surrounded by seven lesser stars--also of eight rays. The female figure in the foreground is entirely naked. Her left knee is on the land and her right foot upon the water. She pours Water of Life from two great ewers, irrigating sea and land. Behind her is rising ground and on the right a shrub or tree, whereon a bird alights. The figure expresses eternal youth and beauty. The star is l'étoile flamboyante, which appears in Masonic symbolism, but has been confused therein. That which the figure communicates to the living scene is the substance of the heavens and the elements. It has been said truly that the mottoes of this card are ""Waters of Life freely"" and ""Gifts of the Spirit.""The summary of several tawdry explanations says that it is a card of hope. On other planes it has been certified as immortality and interior light. For the majority of prepared minds, the figure will appear as the type of Truth unveiled, glorious in undying beauty, pouring on the waters of the soul some part and measure of her priceless possession. But she is in reality the Great Mother in the Kabalistic Sephira Binah, which is supernal Understanding, who communicates to the Sephiroth that are below in the measure that they can receive her influx.","Facilisis ut, Sed facilisis mollis. Laoreet mattis lacus dui.. Laoreet lacus Phasellus lacus Aliquam magna eget.","Mollis Aliquam fringilla felis. laoreet vitae. eget eget. Sed ut, vitae. vitae. Vitae mattis lorem fringilla malesuada dui. sed egestas,. Laoreet lorem Phasellus facilisis. Sed mattis mollis malesuada. Laoreet Phasellus facilisis malesuada mollis felis. mattis sed. Fringilla vitae. magna justo, ut, fringilla eget. Mattis fringilla vitae. egestas, laoreet vitae magna.","Egestas, eu Phasellus lectus,. Phasellus mattis justo, facilisis egestas, Phasellus. Mollis ut, Phasellus lectus, facilisis sed fringilla.","Justo, magna dui..
Justo, lorem magna.
Eu mollis eget.
Eu magna egestas,.
Facilisis dui. lorem.
Egestas, Aliquam eget.","Aliquam vitae. vitae..
Sed egestas, eget.
Felis. felis. facilisis.
Lectus, sed facilisis.
Dui. sed vitae..
Sed mattis laoreet.","Magna Phasellus lacus.
Aliquam fringilla Aliquam.
Egestas, justo, malesuada.
Fringilla lectus, lectus,.
Vitae. justo, mollis.
Lorem eu facilisis.","Justo, mattis malesuada.
Lacus vitae. egestas,.
Fringilla vitae. fringilla.
Lorem fringilla fringilla.
Eu eu Aliquam.
Fringilla lorem lectus,.",1,1,The Star,
5,The Tower,16,https://i.imgur.com/sBcB42X.jpg,Astrological,laoreet,"justo,",Sed,dui.,"Occult explanations attached to this card are meagre and mostly disconcerting. It is idle to indicate that it depicts min in all its aspects, because it bears this evidence on the surface. It is said further that it contains the first allusion to a material building, but I do not conceive that the Tower is more or less material than the pillars which we have met with in three previous cases. I see nothing to warrant Papus in supposing that it is literally the fall of Adam, but there is more in favour of his alternative--that it signifies the materialization of the spiritual word. The bibliographer Christian imagines that it is the downfall of the mind, seeking to penetrate the mystery of God. I agree rather with Grand Orient that it is the ruin of the House of We, when evil has prevailed therein, and above all that it is the rending of a House of Doctrine. I understand that the reference is, however, to a House of Falsehood. It illustrates also in the most comprehensive way the old truth that ""except the Lord build the house, they labour in vain that build it.""There is a sense in which the catastrophe is a reflection from the previous card, but not on the side of the symbolism which I have tried to indicate therein. It is more correctly a question of analogy; one is concerned with the fall into the material and animal state, while the other signifies destruction on the intellectual side. The Tower has been spoken of as the chastisement of pride and the intellect overwhelmed in the attempt to penetrate the Mystery of God; but in neither case do these explanations account for the two persons who are the living sufferers. The one is the literal word made void and the other its false interpretation. In yet a deeper sense, it may signify also the end of a dispensation, but there is no possibility here for the consideration of this involved question.","Lacus fringilla magna magna eu dui.. Eget lacus mattis vitae malesuada Sed lacus. Facilisis fringilla fringilla dui.. Fringilla Phasellus fringilla sed lectus, Sed. Facilisis mollis Sed laoreet.","Justo, vitae. mattis mattis Phasellus mollis ut,. Lectus, vitae. laoreet malesuada Aliquam mattis vitae.. Mattis magna malesuada justo, lacus lacus sed. Justo, sed fringilla fringilla. Ut, malesuada magna laoreet ut, ut,. Laoreet lectus, eu fringilla. Felis. Sed lacus eget.","Ut, felis. magna egestas, Phasellus lorem. Egestas, ut, facilisis felis. facilisis lectus,. Vitae eget lorem vitae magna laoreet dui.. Lorem fringilla malesuada vitae lectus, justo, lectus,. Ut, lacus eget eget Aliquam lacus egestas, lorem. Vitae justo, lacus dui. eget Phasellus Aliquam. Felis. facilisis mattis ut, facilisis facilisis.","Egestas, lacus felis..
Justo, egestas, fringilla.
Sed lacus lorem.
Justo, Phasellus lacus.
Laoreet ut, malesuada.
Lectus, lectus, malesuada.","Felis. mollis facilisis.
Magna mattis facilisis.
Dui. vitae. lacus.
Lorem eget malesuada.
Justo, magna lacus.
Mollis magna lorem.","Lectus, felis. lectus,.
Fringilla lacus sed.
Mollis justo, lectus,.
Lacus egestas, mollis.
Dui. felis. lectus,.
Malesuada sed egestas,.","Vitae eget justo,.
Magna Sed lacus.
Egestas, malesuada felis..
Facilisis lacus ut,.
Dui. magna magna.
Mollis mattis felis..",1,1,The Tower,
6,Hierophant,5,https://i.imgur.com/sBcB42X.jpg,Taurus,facilisis,"egestas,",felis.,fringilla,"He wears the triple crown and is seated between two pillars, but they are not those of the Temple which is guarded by the High Priestess. In his left hand he holds a sceptre terminating in the triple cross, and with his right hand he gives the well-known ecclesiastical sign which is called that of esotericism, distinguishing between the manifest and concealed part of doctrine. It is noticeable in this connexion that the High Priestess makes no sign. At his feet are the crossed keys, and two priestly ministers in albs kneel before him. He has been usually called the Pope, which is a particular application of the more general office that he symbolizes. He is the ruling power of external religion, as the High Priestess is the prevailing genius of the esoteric, withdrawn power. The proper meanings of this card have suffered woeful admixture from nearly all hands. Grand Orient says truly that the Hierophant is the power of the keys, exoteric orthodox doctrine, and the outer side of the life which leads to the doctrine; but he is certainly not the prince of occult doctrine, as another commentator has suggested.He is rather the summa totius theologiæ, when it has passed into the utmost rigidity of expression; but he symbolizes also all things that are righteous and sacred on the manifest side. As such, he is the channel of grace belonging to the world of institution as distinct from that of Nature, and he is the leader of salvation for the human race at large. He is the order and the head of the recognized hierarchy, which is the reflection of another and greater hierarchic order; but it may so happen that the pontiff forgets the significance of this his symbolic state and acts as if he contained within his proper measures all that his sign signifies or his symbol seeks to shew forth. He is not, as it has been thought, philosophy-except on the theological side; he is not inspiration; and he is not religion, although he is a mode of its expression.","Malesuada fringilla Aliquam justo,. Sed vitae. ut, magna lacus Sed egestas,. Ut, eget eget. Lorem Phasellus Aliquam Phasellus dui. felis. mollis. Sed felis. fringilla Phasellus ut,. Lorem egestas, sed magna malesuada Aliquam eu.","Mollis lectus, laoreet. Eget facilisis dui. egestas, lectus,. Sed eu Sed Phasellus malesuada. Egestas, malesuada fringilla felis. justo, lorem. Facilisis Sed justo, magna felis. felis. eu mattis. Lectus, felis. felis. Sed magna lectus,.","Vitae sed lacus fringilla lacus lorem. Sed lacus lorem fringilla magna facilisis. Fringilla mattis lorem dui. vitae ut,. Ut, Sed mollis.","Aliquam vitae. lorem.
Sed lacus fringilla.
Mollis vitae. fringilla.
Felis. laoreet lacus.
Fringilla egestas, Phasellus.
Mollis vitae. ut,.","Mollis felis. fringilla.
Lorem lacus magna.
Aliquam justo, mollis.
Dui. justo, malesuada.
Dui. lacus Sed.
Eu lacus facilisis.","Lorem justo, magna.
Lacus lectus, felis..
Sed fringilla felis..
Lectus, eget fringilla.
Justo, ut, mattis.
Justo, Aliquam justo,.","Lacus vitae vitae..
Fringilla vitae laoreet.
Eget felis. laoreet.
Lacus eu magna.
Mollis laoreet eget.
Fringilla sed magna.",1,1,The Hierophant,
7,Justice,11,https://i.imgur.com/5ao6mMQ.jpg,Libra,Sed,"egestas,",mattis,"lectus,","As this card follows the traditional symbolism and carries above all its obvious meanings, there is little to say regarding it outside the few considerations collected in the first part, to which the reader is referred.It will be seen, however, that the figure is seated between pillars, like the High Priestess, and on this account it seems desirable to indicate that the moral principle which deals unto every man according to his works--while, of course, it is in strict analogy with higher things;--differs in its essence from the spiritual justice which is involved in the idea of election. The latter belongs to a mysterious order of Providence, in virtue of which it is possible for certain men to conceive the idea of dedication to the highest things. The operation of this is like the breathing of the Spirit where it wills, and we have no canon of criticism or ground of explanation concerning it. It is analogous to the possession of the fairy gifts and the high gifts and the gracious gifts of the poet: we have them or have not, and their presence is as much a mystery as their absence. The law of Justice is not however involved by either alternative. In conclusion, the pillars of Justice open into one world and the pillars of the High Priestess into another.","Ut, ut, egestas, malesuada lorem Sed. Dui. ut, magna egestas, lectus, Sed. Vitae. vitae lorem fringilla sed lectus,. Fringilla fringilla vitae. laoreet. Fringilla mollis mattis lacus lorem Sed. Lacus Sed ut, ut, justo, fringilla. Magna vitae. eget mollis sed eget.","Lacus justo, lacus Phasellus Phasellus. Sed Aliquam laoreet fringilla fringilla fringilla. Lacus lacus mollis eu facilisis.","Felis. laoreet laoreet lacus Phasellus Phasellus Phasellus. Egestas, fringilla mollis vitae. eget lectus, lectus, justo,. Felis. malesuada facilisis mollis. Vitae fringilla magna egestas, facilisis lacus ut,.","Sed eu justo,.
Fringilla vitae. lacus.
Mattis ut, eget.
Eget lacus justo,.
Sed mollis Phasellus.
Egestas, felis. vitae..","Mattis eu magna.
Phasellus Aliquam egestas,.
Lorem vitae. magna.
Magna Phasellus ut,.
Fringilla egestas, Phasellus.
Vitae. lectus, laoreet.","Lacus Aliquam dui..
Fringilla fringilla mollis.
Lectus, Aliquam eget.
Felis. eget eget.
Justo, lectus, lectus,.
Lectus, Phasellus lacus.","Phasellus Aliquam lacus.
Eu malesuada mattis.
Lorem vitae. Aliquam.
Lectus, eu vitae..
Lacus ut, Phasellus.
Sed justo, malesuada.",1,1,Justice,
8,The Magician,1,https://i.imgur.com/q7hAW5J.jpg,Imperdiet,eget,eget,"egestas,",Sed,"A youthful figure in the robe of a magician, having the countenance of divine Apollo, with smile of confidence and shining eyes. Above his head is the mysterious sign of the Holy Spirit, the sign of life, like an endless cord, forming the figure 8 in a horizontal position . About his waist is a serpent-cincture, the serpent appearing to devour its own tail. This is familiar to most as a conventional symbol of eternity, but here it indicates more especially the eternity of attainment in the spirit. In the Magician's right hand is a wand raised towards heaven, while the left hand is pointing to the earth. This dual sign is known in very high grades of the Instituted Mysteries; it shews the descent of grace, virtue and light, drawn from things above and derived to things below. The suggestion throughout is therefore the possession and communication of the Powers and Gifts of the Spirit. On the table in front of the Magician are the symbols of the four Tarot suits, signifying the elements of natural life, which lie like counters before the adept, and he adapts them as he wills. Beneath are roses and lilies, the flos campi and lilium convallium, changed into garden flowers, to shew the culture of aspiration. This card signifies the divine motive in man, reflecting God, the will in the liberation of its union with that which is above. It is also the unity of individual being on all planes, and in a very high sense it is thought, in the fixation thereof. With further reference to what I have called the sign of life and its connexion with the number 8, it may be remembered that Christian Gnosticism speaks of rebirth in Christ as a change ""unto the Ogdoad."" The mystic number is termed Jerusalem above, the Land flowing with Milk and Honey, the Holy Spirit and the Land of the Lord. According to Martinism, 8 is the number of Christ.","Lectus, fringilla vitae eu magna facilisis. Mattis laoreet magna dui. eu eu sed. Lacus vitae. fringilla Aliquam laoreet lacus Sed malesuada. Eget dui. lorem fringilla eu. Sed lectus, malesuada vitae. eget. Malesuada ut, eu vitae.","Lorem Sed ut, Sed facilisis. Mattis vitae mollis ut,. Felis. laoreet eu eget Aliquam. Magna eget lorem lorem. Lorem egestas, lectus, eget magna.","Vitae Phasellus mattis Aliquam. Lacus dui. Sed felis.. Eu facilisis malesuada ut,. Magna lectus, fringilla lacus vitae eu. Eget Aliquam laoreet dui.. Ut, egestas, egestas, vitae. facilisis egestas,. Phasellus eu ut, facilisis.","Lorem mattis justo,.
Fringilla mollis Sed.
Mollis ut, malesuada.
Egestas, eget lectus,.
Fringilla eu facilisis.
Mollis felis. dui..","Eu eget sed.
Eget sed lectus,.
Justo, fringilla dui..
Phasellus Aliquam lacus.
Fringilla lectus, facilisis.
Lacus ut, Phasellus.","Dui. lorem mattis.
Sed felis. eu.
Sed dui. lectus,.
Ut, sed lacus.
Lorem Sed mattis.
Malesuada Sed ut,.","Egestas, Aliquam lorem.
Mattis eu lectus,.
Aliquam laoreet justo,.
Mattis egestas, Aliquam.
Facilisis sed sed.
Mollis fringilla vitae.",1,1,The Magician,
9,The Fool,0,https://ibb.co/T8jNzxs,facilisis,"justo,",vitae.,fringilla,Aliquam,"With light step, as if earth and its trammels had little power to restrain him, a young man in gorgeous vestments pauses at the brink of a precipice among the great heights of the world; he surveys the blue distance before him-its expanse of sky rather than the prospect below. His act of eager walking is still indicated, though he is stationary at the given moment; his dog is still bounding. The edge which opens on the depth has no terror; it is as if angels were waiting to uphold him, if it came about that he leaped from the height. His countenance is full of intelligence and expectant dream. He has a rose in one hand and in the other a costly wand, from which depends over his right shoulder a wallet curiously embroidered. He is a prince of the other world on his travels through this one-all amidst the morning glory, in the keen air. The sun, which shines behind him, knows whence he came, whither he is going, and how he will return by another path after many days. He is the spirit in search of experience. Many symbols of the Instituted Mysteries are summarized in this card, which reverses, under high warrants, all the confusions that have preceded it.In his Manual of Cartomancy, Grand Orient has a curious suggestion of the office of Mystic Fool, as apart of his process in higher divination; but it might call for more than ordinary gifts to put it into operation. We shall see how the card fares according to the common arts of fortune-telling, and it will be an example, to those who can discern, of the fact, otherwise so evident, that the Trumps Major had no place originally in the arts of psychic gambling, when cards are used as the counters and pretexts. Of the circumstances under which this art arose we know, however, very little. The conventional explanations say that the Fool signifies the flesh, the sensitive life, and by a peculiar satire its subsidiary name was at one time the alchemist, as depicting folly at the most insensate stage.","Sed lectus, lacus eget ut,. Facilisis malesuada fringilla lacus. Ut, vitae. eu sed. Magna fringilla malesuada egestas,. Justo, eu fringilla mattis. Fringilla mattis egestas, Aliquam. Lacus eu lectus, felis. eu justo, fringilla. Aliquam lectus, justo, lectus,.","Magna magna eu egestas, magna sed. Sed lectus, egestas, ut,. Malesuada malesuada egestas,. Malesuada fringilla dui. Phasellus eu. Justo, felis. Phasellus justo, mattis magna. Justo, mollis eget vitae.. Sed Aliquam Phasellus egestas,.","Lacus felis. lorem justo, lacus. Sed magna Phasellus vitae.. Ut, Aliquam malesuada dui.. Mollis laoreet lacus dui. lacus facilisis eu. Mollis dui. mattis ut, ut, vitae. facilisis. Aliquam Aliquam Sed justo, facilisis Sed. Dui. Sed sed.","Vitae. sed vitae.
Lacus lacus Phasellus.
Lorem felis. malesuada.
Phasellus vitae fringilla.
Dui. sed Phasellus.
Sed justo, Sed.","Eu vitae. justo,.
Mollis Sed mattis.
Vitae. sed mollis.
Felis. eget vitae..
Lacus sed Aliquam.
Lacus dui. justo,.","Sed facilisis mollis.
Dui. lacus fringilla.
Eget laoreet lacus.
Lacus Phasellus malesuada.
Vitae sed lectus,.
Magna egestas, felis..","Felis. egestas, lorem.
Lorem dui. lectus,.
Lectus, egestas, sed.
Egestas, fringilla fringilla.
Ut, vitae vitae..
Ut, laoreet Sed.",1,1,The Fool,
